"","posXY","posX","posY","orientation","angle","00:0f:a3:39:dd:cd","00:0f:a3:39:e1:c0","00:14:bf:3b:c7:c6","00:14:bf:b1:97:81","00:14:bf:b1:97:8a","00:14:bf:b1:97:8d","00:14:bf:b1:97:90"
"0-0","0-0",0,0,0,0,-69.8046870152948,-53.4760240228161,-66.1894312157949,-64.5375114462013,-38.8308580402466,-65.9178368115035,-56.2820341212522
"0-1","0-1",0,1,0.7,0,-70.9628412503413,-52.9087051709758,-66.1771811879649,-65.9169932519782,-39.8145962204239,-65.5116421921943,-58.0784070670426
"0-10","0-10",0,10,0.9,0,-68.9589435620686,-55.2582777314429,-65.0316059826199,-66.3663919362806,-45.3505747864211,-65.7879040960277,-52.28318526543
"0-11","0-11",0,11,0.4,0,-70.6075861778987,-54.166138260863,-67.9382950116368,-68.8455123950233,-48.0492883802004,-66.5569332562009,-55.262818599045
"0-12","0-12",0,12,0.2,0,-68.6264287665151,-54.45,-68.1784990577057,-70.8333195466276,-45.7097895978303,-68.2952236988869,-53.443219407081
"0-13","0-13",0,13,0.1,0,-72.9198119152678,-54.8443284193284,-70.7882105736033,-72.0702566995384,-45.4055496308483,-68.5963114664274,-55.126300553282
"0-2","0-2",0,2,0.3,0,-70.2339962559819,-55.8893939393939,-62.1368586108994,-62.1225564700707,-43.6941381905855,-62.7670239647016,-55.221444436732
"0-3","0-3",0,3,0.2,0,-69.5848070096428,-55.5431818181818,-63.1279497553644,-56.082266206586,-41.0900863623354,-62.0947676938342,-54.3977697894455
"0-4","0-4",0,4,0.5,0,-67.9027444762096,-52.0465596330275,-64.1201906208719,-59.3141406121121,-42.4966964097906,-62.7424123688752,-54.1160658769812
"0-7","0-7",0,7,0.3,0,-69.0427008380133,-56.0877488935975,-64.3637440983345,-64.1875097358902,-45.8535758901019,-54.5288158264067,-58.1307364464721
"0-8","0-8",0,8,0.7,0,-66.9712883541008,-52.8705796497081,-66.0988659128729,-63.4019694943245,-47.9885420924561,-54.7615499838366,-55.1002886652
"0-9","0-9",0,9,0.3,0,-66.5076118236669,-50.3068181818182,-66.3558553340406,-65.2900757122741,-47.3392565371082,-62.3614433482017,-53.6408607614731
"1-0","1-0",1,0,0,0,-69.6240506892769,-50.9204545454545,-63.2414248371624,-67.2064480834665,-36.7144742698463,-65.2033215063037,-55.0741316883793
"1-1","1-1",1,1,0.4,0,-67.6550804717949,-54.7513865721435,-63.5888371796545,-65.764600458684,-39.1682585818423,-65.9208678997898,-55.1355707606278
"1-10","1-10",1,10,0.1,0,-68.5106674856675,-54.6255942452043,-67.4157502952867,-70.9366314842446,-48.7855563143552,-65.4448794336985,-52.8491607358883
"1-11","1-11",1,11,0.9,0,-69.1778277165452,-54.2306818181818,-66.7772791315381,-69.4346130852454,-47.4023480380212,-64.6179088360788,-51.9014060371691
"1-12","1-12",1,12,359.9,0,-70.0406398212448,-54.1488636363636,-69.1735716272023,-70.6561503819192,-46.0812382988292,-68.5075617343435,-50.6655507816037
"1-13","1-13",1,13,0.7,0,-72.5732639705117,-57.3642514595496,-71.1424380138402,-74.1873035505131,-45.3732967404823,-69.1980234543528,-46.9292234548203
"1-2","1-2",1,2,0.2,0,-68.4840682453498,-56.9481811617706,-64.0868421481894,-60.0215351762078,-39.3920369870924,-63.6794551327185,-56.6661935084842
"1-3","1-3",1,3,0.2,0,-69.6805962795828,-54.4916597164304,-64.8924019556832,-55.6023261534402,-39.5633669555444,-59.4651825889992,-58.3451653401283
"1-4","1-4",1,4,0.8,0,-68.9248672058848,-52.5627637987013,-63.6267337700001,-59.917664500194,-44.5467130180992,-60.7883208984818,-56.5326478875091
"1-5","1-5",1,5,0.3,0,-68.7989431883927,-52.5875,-65.9666288915573,-63.95523400212,-40.3627002084907,-62.8049556621792,-56.4340086807966
"1-6","1-6",1,6,0.6,0,-67.1958151151146,-50.1514537264537,-65.6573309537449,-63.2730135158153,-46.6478780439487,-61.0272311926455,-54.5215504473489
"1-7","1-7",1,7,0.1,0,-68.5452326857717,-53.0704953076513,-66.2559563603494,-64.501400006287,-47.3785665822631,-51.8892345958971,-52.2863771588203
"1-8","1-8",1,8,0.7,0,-69.1990825922879,-52.9012784090909,-65.9411163813368,-63.4300504276873,-48.6187099402699,-52.6088086542289,-53.5069694899852
"1-9","1-9",1,9,0.5,0,-66.3916262830081,-52.2806818181818,-65.6656690270868,-64.4429043406623,-46.9378555137343,-63.7700823681315,-50.8570534363667
"10-3","10-3",10,3,0.4,0,-65.5900832077722,-48.269303316035,-52.4590118419279,-52.4402711400872,-55.2791022447237,-56.5551650652034,-70.0186190998538
"10-4","10-4",10,4,0.4,0,-65.3772547649491,-50.3014699749791,-50.1944869473649,-54.1608680630795,-57.3408298355691,-56.1973441211769,-69.2545630177324
"10-5","10-5",10,5,0.1,0,-61.0151882734433,-47.7897727272727,-49.7562664918992,-55.029543185685,-56.0823809571871,-57.4198731408717,-69.4674274518502
"10-6","10-6",10,6,1,0,-62.6978925637906,-44.2289312039312,-50.9400618126476,-58.8363366573613,-58.1163698906428,-57.5465381415872,-65.1887218949737
"10-7","10-7",10,7,0.7,0,-59.7730975798983,-46.8408569641368,-50.0079689007836,-60.3972715248179,-60.6673884388456,-54.0600470219434,-67.9682972451884
"10-8","10-8",10,8,0.6,0,-57.3706570773876,-44.6416564291564,-53.9785182239253,-60.6048690829751,-58.2991059761799,-52.4747505431256,-64.1410143062527
"11-3","11-3",11,3,359.9,0,-64.2889537264537,-49.5327564637198,-48.5245106665539,-53.7500631363134,-56.5469363568242,-58.3073993235639,-68.296274796368
"11-4","11-4",11,4,0.4,0,-67.2974841318591,-51.6306249953039,-51.8543538574596,-54.780823216404,-55.0855574509158,-59.8654379338087,-70.8592974399389
"11-5","11-5",11,5,0.3,0,-62.6095957874054,-49.1247497914929,-49.2297291982657,-60.6157909918873,-58.1442518828356,-58.0812634380205,-65.9056601125156
"11-6","11-6",11,6,0.1,0,-62.309445917527,-46.0096955796497,-50.6490940421601,-60.3030388703954,-57.352317838632,-55.6548080751476,-70.4308544409239
"11-7","11-7",11,7,0.7,0,-60.3959353696452,-47.0306818181818,-48.4744586260743,-59.3715420810679,-56.868086927688,-50.687520884989,-69.7280256723638
"11-8","11-8",11,8,0.3,0,-61.980823457386,-47.9065110565111,-50.1071482263261,-60.2765864666706,-59.4705303897741,-51.3311627427093,-69.0922165464281
"12-3","12-3",12,3,359.9,0,-67.2534803464849,-51.4033144904704,-46.3085337725403,-52.0591053373365,-58.4348167459083,-58.1639279780062,-68.6170872795186
"12-4","12-4",12,4,0.2,0,-67.5281089158383,-48.3264804003336,-50.0056484675576,-54.2428473986314,-57.6786146391076,-57.2586279141163,-68.1356920267425
"12-5","12-5",12,5,0.7,0,-67.4233755321457,-48.4859247879522,-51.9259790437999,-58.103715731035,-56.6325769851106,-58.3428510218915,-67.9958062581705
"12-6","12-6",12,6,0.8,0,-65.2613839285714,-50.3568181818182,-50.2583424364171,-61.0778924330961,-57.7632741694222,-56.8460557158709,-70.1526918473524
"12-7","12-7",12,7,0.7,0,-61.0027918107771,-50.2868849040867,-52.2021491841252,-56.6632983174796,-57.0553099618182,-48.4023568748097,-68.1273451159722
"12-8","12-8",12,8,0,0,-60.0774861183118,-49.88367003367,-52.3881094521402,-58.5022827013649,-57.0458171780765,-50.5093314254475,-69.7051152593169
"13-3","13-3",13,3,359.6,0,-69.3511035982366,-50.6638195795879,-49.4726956097944,-52.1330908382111,-57.4446246056851,-57.502586726735,-69.3722188836618
"13-4","13-4",13,4,0.7,0,-70.4601959777845,-50.3392165205239,-47.7488688484085,-54.573046491491,-56.2741691777036,-58.5222806733554,-68.7967489196702
"13-5","13-5",13,5,0.7,0,-67.0312956597631,-49.0284090909091,-48.3347621550056,-59.2963636255193,-53.9242362464888,-59.6289113070018,-68.7172909533803
"13-6","13-6",13,6,0.1,0,-64.4981254546395,-48.6653972153972,-51.7114855322881,-59.4192858314776,-54.4515476894653,-59.341077291274,-67.7553309162817
"13-7","13-7",13,7,0.3,0,-62.9701884674648,-46.6991034195163,-49.6601179202904,-57.6437458316578,-57.6692110917153,-50.3317575108221,-68.4419911498265
"13-8","13-8",13,8,0,0,-62.62857966335,-51.529670558799,-53.3793500995702,-59.5391641943067,-59.5063219785097,-53.1819002686132,-66.3963613087276
"14-3","14-3",14,3,0.1,0,-69.2056181942896,-52.3987240957548,-54.9856798879935,-50.225527215669,-58.8659700966957,-58.6703884473923,-72.9211402452529
"14-7","14-7",14,7,359.9,0,-66.5559743772401,-50.219713271718,-52.2092042802718,-58.2164767681827,-56.3899104784231,-47.9486648210701,-69.2452863363892
"14-8","14-8",14,8,0.5,0,-60.7820615390426,-50.9785758965805,-47.8783023260807,-57.9215972026206,-57.2319044188265,-52.5210373199983,-69.1712255974116
"15-3","15-3",15,3,0.6,0,-71.8009645188395,-54.598275376085,-53.9664734423116,-51.0360237135357,-62.013809091217,-57.750007829724,-71.4379847197089
"15-7","15-7",15,7,359.8,0,-66.219630942452,-50.8827356130108,-53.798373401224,-58.7177214236696,-59.1861138817015,-50.0789334633766,-72.4536055110703
"15-8","15-8",15,8,359.1,0,-65.2891450927575,-50.1829545454545,-53.427065364067,-58.8386343885514,-56.034158238626,-50.658586184942,-70.5073495661885
"16-3","16-3",16,3,0.2,0,-70.6737152289905,-54.9909090909091,-56.5471689200232,-52.4247440818514,-62.9599558381108,-57.4811464270805,-73.5160098514758
"16-7","16-7",16,7,0.4,0,-66.5148479583482,-52.2251146788991,-54.7141035472509,-55.254604359082,-58.9583372333042,-50.6634770084332,-72.3601642003571
"16-8","16-8",16,8,1.5,0,-68.8807652210175,-53.5465909090909,-52.8634609897935,-59.0009754773891,-57.5994864125854,-50.8591296264584,-73.6419093262814
"17-3","17-3",17,3,1,0,-72.6048976155054,-53.1813730849281,-55.332094719127,-54.7723662659643,-62.2171950287174,-56.1943324374556,-72.4128350872232
"17-7","17-7",17,7,7.9,0,-71.1012177001856,-52.7177476214747,-57.7333276200559,-56.1541242094241,-57.9651247183966,-45.2763151838877,-72.1783101768357
"17-8","17-8",17,8,1.2,0,-70.1435268092616,-53.5647727272727,-54.9713591307155,-54.9771565501436,-59.3798534960134,-51.1700558080944,-74.5183720475855
"18-3","18-3",18,3,0,0,-75.4626015298034,-53.5457094307562,-54.5276214816438,-50.2249455985299,-62.1345850498714,-56.9664893154447,-74.3152350859111
"18-7","18-7",18,7,0.4,0,-68.9311789061789,-51.885175145955,-60.1847678963535,-59.1429242103467,-60.7314087978301,-48.4704731749212,-71.6993928260495
"18-8","18-8",18,8,1.5,0,-64.7282581968386,-52.2193181818182,-59.341967842386,-59.0950994605144,-60.2301094233966,-51.1853973386525,-75.7120762426473
"19-3","19-3",19,3,0.3,0,-75.2513917361041,-56.0857068390325,-57.6503130376024,-49.9677102232353,-61.1715754621132,-55.4056629980009,-74.7097774049793
"19-7","19-7",19,7,359.3,0,-67.4417014178482,-52.7193181818182,-60.4651815971087,-57.8548042366871,-57.534955846398,-49.9306828839637,-72.6237582000689
"19-8","19-8",19,8,359.9,0,-69.4581794315166,-52.9961321934946,-58.6664181189137,-55.7214476648002,-60.4704769623022,-50.1015397511733,-72.5689931620375
"2-0","2-0",2,0,0.3,0,-72.4828412015912,-55.6109668154393,-64.0501344246257,-66.1258478439862,-33.8706373832249,-66.6114894713431,-59.3666102667461
"2-1","2-1",2,1,0.2,0,-72.3371231146674,-54.1761363636364,-63.8399636118033,-63.7327145548456,-39.1737549468466,-61.5960496128257,-53.4618080486414
"2-10","2-10",2,10,0.4,0,-66.401302540365,-51.8040335790336,-65.2970453172589,-66.1911613650299,-44.9502556593485,-64.6738268006515,-49.8914631924175
"2-11","2-11",2,11,0.5,0,-69.6708686145106,-54.5063032186169,-67.9843733568373,-69.3541315000168,-46.6736527933599,-67.482728156665,-45.0840093983105
"2-12","2-12",2,12,0.2,0,-71.193736799,-55.3262831012831,-67.8555784280018,-71.295161555959,-46.9176516518335,-67.6038970528001,-47.2595175569586
"2-13","2-13",2,13,359.9,0,-74.3670352170352,-56.2913678065054,-68.189576012962,-73.0382431450855,-46.2273103914241,-69.3934466987255,-43.6769956832548
"2-2","2-2",2,2,359.9,0,-64.5923048657424,-51.2863636363636,-64.1404903554656,-61.3833831768516,-39.7495236975988,-64.6932014530934,-51.7189265863408
"2-3","2-3",2,3,0.1,0,-68.4840041641241,-54.9059528773978,-62.8866088313521,-59.3475748005726,-41.1587601306415,-60.8739189368138,-54.7323340730957
"2-4","2-4",2,4,0,0,-66.8020256836054,-55.0185544497246,-61.4969221468704,-59.9422473346427,-42.5533190428193,-60.2249201263681,-54.0680143854867
"2-5","2-5",2,5,0.4,0,-70.0080335283194,-52.2546184320267,-65.4333843840776,-64.5301833810065,-46.411457813277,-61.5948804271408,-57.3351309265371
"2-6","2-6",2,6,0.6,0,-67.4820842664869,-51.6636363636364,-65.8868557174776,-62.2224663062789,-44.1315888839517,-60.4739978795101,-53.0240464549404
"2-7","2-7",2,7,0.4,0,-65.0198768691171,-51.3181408681409,-66.3974512197525,-64.1370573126231,-46.8410598348591,-52.906180497899,-55.1247559103956
"2-8","2-8",2,8,0.2,0,-62.6043220574471,-51.8397727272727,-64.9716818323063,-62.3489015788522,-49.4710979413217,-54.7426221065136,-51.2895905526532
"2-9","2-9",2,9,0.9,0,-66.7070145123883,-52.930483736447,-65.4908254813555,-67.8442639581637,-48.3550543098242,-63.7425339095173,-51.0222758980393
"20-3","20-3",20,3,359.5,0,-75.7244696481653,-57.3368640533778,-58.5122820549767,-49.8588963541811,-62.0341914853323,-54.9616288769226,-75.4252365861569
"20-7","20-7",20,7,1.5,0,-69.2961736601071,-54.6864806320082,-60.9406460857591,-55.5421622069125,-62.1935785967249,-48.142013366058,-72.6920797883043
"20-8","20-8",20,8,1.5,0,-74.735464877238,-53.5159090909091,-59.0698154345107,-54.5457999929381,-63.5765944991788,-48.8843013143907,-73.2096539049737
"21-3","21-3",21,3,0.1,0,-76.7255905839191,-58.8889595496247,-60.9232314646742,-48.6177260820807,-62.5640982222521,-54.4835958603282,-76.2326358506515
"21-4","21-4",21,4,0.3,0,-77.347570861103,-57.8213530565595,-62.5647585579501,-49.7936159744227,-65.7859324638057,-51.6643163955454,-77.2288598781488
"21-5","21-5",21,5,0.3,0,-78.7580351120571,-59.0066513761468,-61.5778922016151,-50.309652666141,-67.112654408334,-50.4809105301759,-78.0364649535589
"21-6","21-6",21,6,0,0,-75.2783214062233,-58.1398561301084,-63.7044185515275,-52.617608013052,-66.6939860600928,-44.1320641392447,-76.6204655739496
"21-7","21-7",21,7,359.9,0,-74.4145097319409,-56.3590909090909,-63.8661489416415,-55.0992829308688,-62.8482970116619,-46.7719900278513,-70.8097499289538
"21-8","21-8",21,8,359.9,0,-75.5455606633615,-53.4556818181818,-62.645296302301,-55.7389034567536,-62.1345722144718,-49.3435230752124,-72.3984568200221
"22-3","22-3",22,3,0.5,0,-78.2137173796775,-59.2202522841858,-60.7518574606292,-50.050285316074,-61.1778801657508,-53.3813426464538,-75.0142728678957
"22-4","22-4",22,4,0,0,-78.3021936865974,-58.3807026688907,-60.90924393029,-49.5240740422002,-62.6915336191579,-52.4084496449827,-77.4299648699992
"22-5","22-5",22,5,359.7,0,-78.2027707723809,-57.1204545454545,-60.0776022490721,-50.7563537456565,-66.8144433293147,-48.9477557466688,-77.3670330179729
"22-6","22-6",22,6,359.9,0,-76.3447171288173,-58.8157527105922,-61.4659966722874,-53.4606122491425,-66.7932489148904,-47.0577742607634,-76.1568035160959
"22-7","22-7",22,7,0.2,0,-72.0716523341523,-55.7969036697248,-65.2389307683679,-54.0626415038467,-63.2628425007206,-46.208007698414,-71.3765003550213
"22-8","22-8",22,8,0,0,-74.6117957456295,-57.0761363636364,-65.1096995445234,-56.0671250383764,-65.5337748755476,-47.9448363930915,-72.9363188786344
"23-3","23-3",23,3,0.5,0,-79.5564662776931,-57.5897727272727,-61.7312030223837,-48.1086356030901,-65.123274802815,-52.3447557737621,-77.0595165217407
"23-4","23-4",23,4,359.9,0,-78.7211172825266,-57.5434424520434,-61.1359175315216,-51.4998846569158,-63.6657153922316,-52.9979201295588,-77.0196503290166
"23-5","23-5",23,5,359.8,0,-79.9169317144118,-57.9837069085349,-61.3247805935928,-53.0431615070677,-65.6145764146205,-49.9515202765636,-78.9560476380333
"23-6","23-6",23,6,359.9,0,-76.5335983606626,-58.5312656380317,-62.9958678377069,-55.1317329835415,-64.7781178535103,-47.6905299870888,-74.6722066478623
"23-7","23-7",23,7,359.6,0,-76.0867318058258,-56.6820371142619,-61.6320762002672,-54.3221709230426,-61.2462709840947,-47.4371812035264,-75.3002244926956
"23-8","23-8",23,8,0.1,0,-75.8097864380725,-55.8504208754209,-61.8723841384235,-54.5298534829143,-61.7967588082102,-46.445553949482,-71.9211666443713
"24-3","24-3",24,3,359.9,0,-79.063050606508,-56.5159090909091,-61.6893604279319,-48.9004356664822,-62.8241189128068,-55.4375320494455,-77.2683101399541
"24-4","24-4",24,4,359.8,0,-78.3005344639674,-58.7000417014179,-61.3608718597187,-51.4251602090288,-64.4883502812466,-51.338821990806,-75.4450545198471
"24-5","24-5",24,5,0.1,0,-77.2716419973222,-59.8104357798165,-60.8265822424072,-54.0803178582902,-64.3488413097656,-52.2196728722332,-75.9150190210942
"24-6","24-6",24,6,0.3,0,-77.1509746987559,-59.0870829858215,-62.5887001221931,-50.3590864365045,-64.2366951939558,-51.6812217869781,-76.7401518550241
"24-7","24-7",24,7,0.3,0,-76.773623853211,-57.8750540573935,-61.1002902875033,-55.1034199561658,-65.0044607769418,-49.1137081071496,-72.9339698790242
"24-8","24-8",24,8,0,0,-76.2882376188069,-56.7160133444537,-64.6943358515763,-55.6563914122555,-63.5701316311492,-45.0217489972556,-76.3450590102704
"25-3","25-3",25,3,0,0,-78.8599198856145,-60.6280103668262,-63.1079728866376,-50.9643489782899,-63.239984408371,-52.1171435015021,-77.0065973216802
"25-4","25-4",25,4,0.1,0,-79.5219708091806,-58.5542835057743,-61.2921514341616,-49.3584718241509,-64.8794606572454,-53.1887306980154,-78.171582036237
"25-7","25-7",25,7,0.3,0,-76.4359710396097,-56.7545454545455,-62.5531937388578,-54.8943392418775,-65.9499224441031,-50.0703099956582,-77.4041765146864
"25-8","25-8",25,8,0.6,0,-78.2315963680012,-56.3878787878788,-64.2274626930948,-54.9674568395302,-64.7776238719577,-49.1415142847391,-76.6381688079348
"26-3","26-3",26,3,359.8,0,-80.4055475562955,-57.6117742794922,-60.2876743039143,-49.6311897384371,-63.4895329192025,-50.6951943735998,-76.9842207338883
"26-4","26-4",26,4,359.8,0,-76.6560019054859,-58.1114157631359,-64.615025678781,-50.2547431848845,-62.8834920631919,-51.2660629684347,-75.6638037433695
"26-5","26-5",26,5,0.4,0,-79.2242035628329,-58.8920454545455,-60.3380651187265,-53.0339202273512,-65.5368807988906,-49.0330368572182,-76.7952424954685
"26-6","26-6",26,6,0.4,0,-76.0381900520049,-57.6205170975813,-64.3195770840772,-54.252926281857,-65.4087766652066,-52.080925721849,-76.3245209137474
"26-7","26-7",26,7,0.5,0,-75.9074715353385,-56.8522727272727,-63.577653988619,-53.7164924605291,-66.6879968254839,-48.2854007685162,-74.0400543962828
"26-8","26-8",26,8,0.1,0,-76.633548973529,-58.9130212677231,-62.6524951857511,-52.297779072923,-64.2231743227248,-44.538429630641,-76.8937188038466
"27-3","27-3",27,3,0.2,0,-78.3777364933842,-58.8181818181818,-61.2146550738882,-44.7844503198096,-64.5406689515187,-48.6633578847623,-78.9103287102016
"27-7","27-7",27,7,0.1,0,-77.8524179099221,-54.0585592160133,-63.8761117307967,-53.2964226368141,-64.840118633087,-43.3237860391955,-74.1412235244707
"27-8","27-8",27,8,0.2,0,-77.1588393178416,-56.313448707256,-65.6230839406104,-51.7846902822171,-68.1539905398439,-43.806981740826,-76.2784951998256
"28-3","28-3",28,3,0.4,0,-79.9405665322945,-60.3930724928431,-63.7241194694713,-45.1649624153864,-62.2598615547054,-49.929413765313,-79.7929840347801
"28-7","28-7",28,7,0.6,0,-79.253295555812,-58.9904920767306,-64.7781239499849,-49.6840648024575,-66.1382239905351,-42.4025403900436,-77.1402148857823
"28-8","28-8",28,8,0,0,-79.4213268283144,-56.9340909090909,-67.1436984737077,-51.2300613913087,-66.3540067082787,-44.1202499124196,-76.156556728358
"29-3","29-3",29,3,0.5,0,-80.5243021624577,-60.604394609815,-65.0282022885906,-45.2759526382197,-64.8695874212597,-51.4066031790675,-73.93491660105
"29-7","29-7",29,7,0.7,0,-80.1502695770642,-54.9592444717445,-67.8996034643653,-51.2320029972877,-67.3857148688974,-43.9299466387466,-77.9288564654078
"29-8","29-8",29,8,0.2,0,-78.3903261555385,-56.8182443703086,-63.1031149228211,-49.9616022049577,-66.0163358448406,-45.4103797084551,-77.3033878477205
"3-3","3-3",3,3,0.3,0,-62.1400112743433,-50.9299103419516,-58.3434777412077,-58.1207524575544,-48.4726288090371,-61.7896972474546,-57.346848371165
"3-7","3-7",3,7,1.2,0,-63.0405664999415,-50.7871351125938,-62.8035755404676,-62.4694477652294,-47.1095170721293,-52.8207232795765,-53.2126226492365
"3-8","3-8",3,8,358.3,0,-65.0575931635421,-50.5748436196831,-65.5628431261217,-62.358898474915,-49.905762876156,-57.7757500783442,-54.6942874479889
"30-3","30-3",30,3,0.7,0,-80.9866861604247,-60.7535217035217,-65.5402230743153,-45.4421279100404,-64.4350274730089,-46.0216223308707,-77.6758765753027
"30-7","30-7",30,7,0,0,-76.9162085406925,-57.2111742424242,-65.3964287695694,-47.7038416940314,-67.3114823114279,-41.7178460077451,-78.8329077290904
"30-8","30-8",30,8,0.3,0,-79.0264995804813,-56.8329545454545,-64.6386031213976,-50.2626125363484,-66.5651414465306,-41.3636380546686,-77.9883588664161
"31-3","31-3",31,3,0.3,0,-81.7252873883495,-59.7511363636364,-67.5338106202127,-43.5236980871161,-62.6915536537351,-42.9109285880515,-80.2588260635388
"31-7","31-7",31,7,0.4,0,-78.568925463433,-57.3216326105088,-66.8582441644626,-44.4109331691595,-68.4692266342273,-42.6428236923802,-77.655624222534
"31-8","31-8",31,8,0.4,0,-79.8805029186408,-56.676376146789,-66.5809202507461,-45.5316688743865,-69.0066857167733,-42.534214753803,-79.4298898704263
"32-3","32-3",32,3,0,0,-81.0603875301272,-61.1477272727273,-67.5167170755674,-41.4873140384788,-65.8148404182083,-44.7009844289851,-79.6103652166109
"32-4","32-4",32,4,0.5,0,-83.0603955533641,-62.7519781144781,-67.9985629029525,-41.4591285944775,-69.0919670002275,-43.5930517320141,-78.2198006756772
"32-5","32-5",32,5,359.7,0,-83.3284318486854,-64.760400898724,-70.4088677978102,-43.3796021438879,-69.2539140818845,-41.7360400130812,-79.024106950895
"32-6","32-6",32,6,0.2,0,-82.9334000639945,-63.3261363636364,-69.5351970430802,-48.1510654288004,-71.5743780364302,-45.500872023917,-81.0370198691136
"32-7","32-7",32,7,0,0,-80.500038914448,-58.4914616346956,-62.8289158836951,-44.6433429353196,-64.5226216796638,-41.7795015889819,-76.4584691267199
"32-8","32-8",32,8,0.6,0,-80.0609133155656,-56.675,-68.6185424007058,-45.3141184212115,-68.0918681569101,-39.8657458980428,-79.5779614979841
"33-3","33-3",33,3,359.9,0,-81.5136735361322,-60.8911905754796,-66.6531465062671,-41.9921629340302,-65.7150779881295,-51.4583234303058,-79.3340454715169
"33-4","33-4",33,4,359.8,0,-82.4354683000863,-60.0588511259383,-67.7722409059231,-44.3218916690175,-66.1231494367836,-45.3533508868435,-81.8848669538814
"33-7","33-7",33,7,0.5,0,-80.2167081701779,-55.5818181818182,-67.4080092830978,-46.0389853526669,-69.2259613305767,-37.7361934686085,-74.8656511841088
"33-8","33-8",33,8,0.3,0,-79.0218212539088,-54.9754828483613,-69.2040892283578,-46.9134359042657,-67.0982608709323,-35.8257099942354,-78.5614371983364
"4-3","4-3",4,3,0.6,0,-62.9593944510086,-49.2789425831613,-59.7080818222348,-56.5420186833611,-51.1116532668545,-59.4671253099014,-58.6910649316581
"4-7","4-7",4,7,359.9,0,-64.4940018704298,-50.4314637197665,-60.9492528722217,-62.7297120857143,-51.2578890062203,-51.9801813009925,-54.8146409769578
"4-8","4-8",4,8,359.6,0,-61.2289619164619,-48.0494161801501,-62.927070475637,-60.8047929790005,-49.2202862420214,-57.4113153707328,-57.258739154718
"5-3","5-3",5,3,359.9,0,-63.6488481268569,-48.3877293577982,-57.4837756384729,-55.5250045597266,-50.759410125698,-57.3099343660996,-63.2903032063957
"5-7","5-7",5,7,1.5,0,-60.5361845118986,-46.6530963302752,-59.352240941061,-61.6085750118002,-51.7854704911082,-48.8263715982071,-60.216588346772
"5-8","5-8",5,8,0.8,0,-60.8641637832578,-46.2050423964415,-61.246040172196,-61.1630091295731,-54.3566805415194,-55.7725029528416,-59.3277572762863
"6-3","6-3",6,3,0.2,0,-61.1824912276747,-47.6739272715038,-56.8793124372956,-55.4522343573286,-53.0745284806357,-56.7229155783824,-61.6068355651814
"6-7","6-7",6,7,2,0,-58.3582994546584,-45.9741233476274,-59.9327152798286,-62.7023818841516,-52.6471990008259,-52.3464253233071,-60.9219893594487
"6-8","6-8",6,8,0.1,0,-57.5508899321399,-47.0915271098189,-59.1319999541598,-60.981347029502,-53.9062553181205,-55.3885719927523,-62.515085109028
"7-3","7-3",7,3,359.7,0,-59.092871890306,-45.5954962468724,-55.4400851574434,-55.1543737663946,-55.023673796489,-57.4379656030014,-62.5125740341613
"7-7","7-7",7,7,1.5,0,-58.9810179346684,-44.7590225964079,-58.5923629793238,-61.0908538509237,-55.5279600884936,-53.8600647125708,-63.3457292987829
"7-8","7-8",7,8,0.3,0,-59.4999165597617,-47.77492307779,-56.4628438462062,-60.3624918607399,-53.9504550650363,-54.5859013008862,-64.9106196083862
"8-3","8-3",8,3,0.1,0,-59.7292897885818,-49.0943181818182,-52.9543528771319,-55.9022224234556,-50.9200774704814,-58.0765849661927,-66.2069945641891
"8-7","8-7",8,7,359.8,0,-55.2163654997588,-47.2433134136938,-55.1963468056994,-59.3342394063258,-57.0913400150101,-54.4673250601053,-64.7211272000651
"8-8","8-8",8,8,0.7,0,-57.2743445175785,-46.2005714638742,-57.1222046626049,-61.4948561773932,-58.8057886964175,-54.5545451153938,-62.875154330714
"9-3","9-3",9,3,0.4,0,-62.483665464309,-49.3519477567643,-50.8651589623466,-55.2782541772499,-51.9820889946012,-57.1943709360151,-63.7218714145597
"9-4","9-4",9,4,0.4,0,-63.2993502275162,-46.1783703088792,-53.0683607394244,-54.1745644947571,-56.3512020051082,-58.2766922510144,-68.4833164168968
"9-7","9-7",9,7,0.3,0,-56.4415620978121,-48.4156901584654,-52.2555251502947,-60.618514889157,-59.5320595424571,-54.0331787226553,-65.4356351423438
"9-8","9-8",9,8,0.6,0,-55.2864715005053,-48.0217160133445,-52.9924744014914,-59.2859314738377,-58.8591001657833,-53.3010636241311,-67.2562031558771
