,Date,COUNT POSITIVE
0,2015-07-02,129
1,2015-07-09,99
2,2015-07-16,86
3,2015-07-23,73
4,2015-07-30,73
5,2015-08-06,93
6,2015-08-13,81
7,2015-08-20,98
8,2015-08-27,100
9,2015-09-03,139
10,2015-09-10,148
11,2015-09-17,198
12,2015-09-24,167
13,2015-10-01,202
14,2015-10-08,209
15,2015-10-15,228
16,2015-10-22,223
17,2015-10-29,208
18,2015-11-05,210
19,2015-11-12,270
20,2015-11-19,250
21,2015-11-26,268
22,2015-12-03,316
23,2015-12-10,348
24,2015-12-17,577
25,2015-12-24,552
26,2015-12-31,724
27,2016-01-08,960
28,2016-01-15,1275
29,2016-01-22,1658
30,2016-01-29,2377
31,2016-02-05,3318
32,2016-02-12,4711
33,2016-02-19,6433
34,2016-02-26,8372
35,2016-03-04,10084
36,2016-03-11,11971
37,2016-03-18,9205
38,2016-03-25,7355
39,2016-04-01,6045
40,2016-04-08,4505
41,2016-04-15,3784
42,2016-04-22,3278
43,2016-04-29,2405
44,2016-05-06,1602
45,2016-05-13,1219
46,2016-05-20,953
47,2016-05-27,693
48,2016-06-03,399
49,2016-06-10,335
50,2016-06-17,200
51,2016-06-24,184
52,2016-07-01,120
53,2016-07-08,93
54,2016-07-15,94
55,2016-07-22,85
56,2016-07-29,100
57,2016-08-05,109
58,2016-08-12,112
59,2016-08-19,93
60,2016-08-26,131
61,2016-09-02,170
62,2016-09-09,171
63,2016-09-16,217
64,2016-09-23,263
65,2016-09-30,284
66,2016-10-07,316
67,2016-10-14,299
68,2016-10-21,379
69,2016-10-28,387
70,2016-11-04,476
71,2016-11-11,565
72,2016-11-18,712
73,2016-11-25,820
74,2016-12-02,1097
75,2016-12-09,1402
76,2016-12-16,2407
77,2016-12-23,4042
78,2016-12-30,6506
79,2017-01-08,6933
80,2017-01-15,7850
81,2017-01-22,9250
82,2017-01-29,9782
83,2017-02-05,11881
84,2017-02-12,15074
85,2017-02-19,15356
86,2017-02-26,14783
87,2017-03-05,10162
88,2017-03-12,9372
89,2017-03-19,8619
90,2017-03-26,8654
91,2017-04-02,7625
92,2017-04-09,5524
93,2017-04-16,3942
94,2017-04-23,2684
95,2017-04-30,1695
96,2017-05-07,1253
97,2017-05-14,1109
98,2017-05-21,944
99,2017-05-28,734
100,2017-06-04,653
101,2017-06-11,503
102,2017-06-18,410
103,2017-06-25,319
104,2017-07-02,267
105,2017-07-09,211
106,2017-07-16,222
107,2017-07-23,191
108,2017-07-30,189
109,2017-08-06,196
110,2017-08-13,208
111,2017-08-20,152
112,2017-08-27,199
113,2017-09-03,272
114,2017-09-10,331
115,2017-09-17,370
116,2017-09-24,364
117,2017-10-01,399
118,2017-10-08,503
119,2017-10-15,534
120,2017-10-22,589
121,2017-10-29,740
122,2017-11-05,1066
123,2017-11-12,1323
124,2017-11-19,1819
125,2017-11-26,2297
126,2017-12-03,2984
127,2017-12-10,4587
128,2017-12-17,7316
129,2017-12-24,14060
130,2017-12-31,17893
131,2018-01-08,19880
132,2018-01-15,22933
133,2018-01-22,22642
134,2018-01-29,26318
135,2018-02-05,26386
136,2018-02-12,25963
137,2018-02-19,22908
138,2018-02-26,16227
139,2018-03-05,10801
140,2018-03-12,7917
141,2018-03-19,7009
142,2018-03-26,6138
143,2018-04-02,5619
144,2018-04-09,4290
145,2018-04-16,3414
146,2018-04-23,2455
147,2018-04-30,1875
148,2018-05-07,1317
149,2018-05-14,776
150,2018-05-21,481
151,2018-05-28,338
152,2018-06-04,193
153,2018-06-11,178
154,2018-06-18,138
155,2018-06-25,101
156,2018-07-02,95
157,2018-07-09,90
158,2018-07-16,87
159,2018-07-23,101
160,2018-07-30,85
161,2018-08-06,81
162,2018-08-13,87
163,2018-08-20,77
164,2018-08-27,149
165,2018-09-03,149
166,2018-09-10,207
167,2018-09-17,252
168,2018-09-24,270
169,2018-10-01,257
170,2018-10-08,355
171,2018-10-15,390
172,2018-10-22,507
173,2018-10-29,571
174,2018-11-05,609
175,2018-11-12,819
176,2018-11-19,980
177,2018-11-26,1260
178,2018-12-03,1524
179,2018-12-10,2294
180,2018-12-17,4313
181,2018-12-24,6960
182,2018-12-31,8758
183,2019-01-08,7076
184,2019-01-15,7092
185,2019-01-22,8864
186,2019-01-29,10796
187,2019-02-05,13581
188,2019-02-12,16783
189,2019-02-19,17010
190,2019-02-26,17344
191,2019-03-05,17202
192,2019-03-12,16954
193,2019-03-19,17008
194,2019-03-26,13277
195,2019-04-02,10078
196,2019-04-09,6919
197,2019-04-16,4819
198,2019-04-23,2996
199,2019-04-30,1874
200,2019-05-07,1265
201,2019-05-14,906
202,2019-05-21,788
203,2019-05-28,669
204,2019-06-04,581
205,2019-06-11,487
206,2019-06-18,376
207,2019-06-25,294
208,2019-07-02,280
209,2019-07-09,305
210,2019-07-16,248
211,2019-07-23,267
212,2019-07-30,253
213,2019-08-06,248
214,2019-08-13,223
215,2019-08-20,268
216,2019-08-27,302
217,2019-09-03,450
218,2019-09-10,476
219,2019-09-17,475
220,2019-09-24,562
221,2019-10-01,628
222,2019-10-08,427
223,2019-10-15,526
224,2019-10-22,594
225,2019-10-29,855
226,2019-11-05,1137
227,2019-11-12,2210
228,2019-11-19,2906
229,2019-11-26,4600
230,2019-12-03,5066
231,2019-12-10,6436
232,2019-12-17,9123
233,2019-12-24,14667
234,2019-12-31,20211
235,2020-01-08,18146
236,2020-01-15,16638
237,2020-01-22,18828
238,2020-01-29,21523
239,2020-02-05,25631
240,2020-02-12,25311
241,2020-02-19,23581
242,2020-02-26,21117
243,2020-03-04,18344
244,2020-03-11,16492
245,2020-03-18,12819
246,2020-03-25,5891
247,2020-04-01,1149
248,2020-04-08,345
249,2020-04-15,152
250,2020-04-22,114
251,2020-04-29,56
252,2020-05-06,53
253,2020-05-13,58
254,2020-05-20,48
255,2020-05-27,17
256,2020-06-03,14
257,2020-06-10,21
258,2020-06-17,10
