Year,Week,PositiveCases
1997,40,0
1997,41,11
1997,42,17
1997,43,7
1997,44,10
1997,45,6
1997,46,8
1997,47,23
1997,48,37
1997,49,40
1997,50,98
1997,51,243
1997,52,422
1997,53,790
1998,1,1022
1998,2,1151
1998,3,1587
1998,4,1889
1998,5,1680
1998,6,1430
1998,7,987
1998,8,566
1998,9,307
1998,10,202
1998,11,121
1998,12,84
1998,13,47
1998,14,34
1998,15,39
1998,16,21
1998,17,16
1998,18,16
1998,19,9
1998,20,9
1998,21,0
1998,22,0
1998,23,0
1998,24,0
1998,25,0
1998,26,0
1998,27,0
1998,28,0
1998,29,0
1998,30,0
1998,31,0
1998,32,0
1998,33,0
1998,34,0
1998,35,0
1998,36,0
1998,37,0
1998,38,0
1998,39,0
1998,40,2
1998,41,5
1998,42,3
1998,43,6
1998,44,18
1998,45,14
1998,46,8
1998,47,17
1998,48,28
1998,49,45
1998,50,42
1998,51,83
1998,52,160
1999,1,331
1999,2,574
1999,3,865
1999,4,1150
1999,5,1678
1999,6,1860
1999,7,1715
1999,8,1669
1999,9,1387
1999,10,883
1999,11,627
1999,12,464
1999,13,224
1999,14,176
1999,15,111
1999,16,36
1999,17,28
1999,18,17
1999,19,9
1999,20,7
1999,21,7
1999,22,1
1999,23,0
1999,24,0
1999,25,0
1999,26,0
1999,27,0
1999,28,0
1999,29,0
1999,30,0
1999,31,0
1999,32,0
1999,33,0
1999,34,0
1999,35,0
1999,36,0
1999,37,0
1999,38,0
1999,39,0
1999,40,18
1999,41,20
1999,42,47
1999,43,57
1999,44,96
1999,45,148
1999,46,231
1999,47,286
1999,48,527
1999,49,845
1999,50,1306
1999,51,1726
1999,52,2151
2000,1,2103
2000,2,1645
2000,3,1044
2000,4,695
2000,5,485
2000,6,412
2000,7,263
2000,8,200
2000,9,100
2000,10,75
2000,11,53
2000,12,33
2000,13,21
2000,14,19
2000,15,22
2000,16,23
2000,17,16
2000,18,10
2000,19,2
2000,20,2
2000,21,6
2000,22,3
2000,23,3
2000,24,1
2000,25,0
2000,26,1
2000,27,0
2000,28,0
2000,29,0
2000,30,0
2000,31,0
2000,32,0
2000,33,0
2000,34,0
2000,35,0
2000,36,0
2000,37,0
2000,38,0
2000,39,0
2000,40,1
2000,41,4
2000,42,4
2000,43,14
2000,44,16
2000,45,37
2000,46,43
2000,47,77
2000,48,98
2000,49,161
2000,50,226
2000,51,394
2000,52,459
2001,1,511
2001,2,812
2001,3,1132
2001,4,1330
2001,5,1238
2001,6,1067
2001,7,759
2001,8,637
2001,9,495
2001,10,273
2001,11,199
2001,12,181
2001,13,122
2001,14,78
2001,15,45
2001,16,47
2001,17,21
2001,18,9
2001,19,7
2001,20,9
2001,21,1
2001,22,2
2001,23,1
2001,24,1
2001,25,0
2001,26,0
2001,27,0
2001,28,0
2001,29,0
2001,30,0
2001,31,0
2001,32,0
2001,33,0
2001,34,0
2001,35,0
2001,36,0
2001,37,0
2001,38,0
2001,39,0
2001,40,8
2001,41,5
2001,42,8
2001,43,17
2001,44,13
2001,45,13
2001,46,46
2001,47,33
2001,48,74
2001,49,83
2001,50,112
2001,51,169
2001,52,220
2002,1,344
2002,2,540
2002,3,927
2002,4,1243
2002,5,1474
2002,6,1639
2002,7,1807
2002,8,1833
2002,9,1425
2002,10,1137
2002,11,803
2002,12,569
2002,13,458
2002,14,330
2002,15,253
2002,16,262
2002,17,156
2002,18,168
2002,19,145
2002,20,88
2002,21,64
2002,22,36
2002,23,26
2002,24,7
2002,25,2
2002,26,4
2002,27,2
2002,28,1
2002,29,0
2002,30,2
2002,31,0
2002,32,0
2002,33,0
2002,34,0
2002,35,1
2002,36,0
2002,37,0
2002,38,3
2002,39,2
2002,40,0
2002,41,3
2002,42,0
2002,43,6
2002,44,6
2002,45,5
2002,46,10
2002,47,22
2002,48,15
2002,49,40
2002,50,97
2002,51,191
2002,52,160
2003,1,148
2003,2,249
2003,3,357
2003,4,547
2003,5,854
2003,6,1285
2003,7,1184
2003,8,996
2003,9,966
2003,10,679
2003,11,586
2003,12,503
2003,13,281
2003,14,201
2003,15,110
2003,16,89
2003,17,58
2003,18,68
2003,19,28
2003,20,19
2003,21,16
2003,22,6
2003,23,13
2003,24,7
2003,25,4
2003,26,2
2003,27,1
2003,28,3
2003,29,4
2003,30,4
2003,31,8
2003,32,2
2003,33,3
2003,34,0
2003,35,0
2003,36,2
2003,37,1
2003,38,2
2003,39,0
2003,40,22
2003,41,77
2003,42,253
2003,43,458
2003,44,535
2003,45,862
2003,46,1291
2003,47,1968
2003,48,2251
2003,49,3269
2003,50,4090
2003,51,3629
2003,52,2411
2003,53,1701
2004,1,862
2004,2,505
2004,3,260
2004,4,166
2004,5,107
2004,6,65
2004,7,56
2004,8,38
2004,9,18
2004,10,14
2004,11,13
2004,12,24
2004,13,17
2004,14,9
2004,15,15
2004,16,24
2004,17,11
2004,18,9
2004,19,2
2004,20,4
2004,21,6
2004,22,6
2004,23,3
2004,24,2
2004,25,3
2004,26,3
2004,27,1
2004,28,2
2004,29,2
2004,30,0
2004,31,2
2004,32,1
2004,33,1
2004,34,4
2004,35,4
2004,36,3
2004,37,7
2004,38,4
2004,39,14
2004,40,12
2004,41,14
2004,42,39
2004,43,32
2004,44,45
2004,45,62
2004,46,92
2004,47,61
2004,48,137
2004,49,193
2004,50,286
2004,51,531
2004,52,973
2005,1,1285
2005,2,1126
2005,3,1483
2005,4,1866
2005,5,2325
2005,6,2571
2005,7,2705
2005,8,2278
2005,9,1698
2005,10,1216
2005,11,1108
2005,12,869
2005,13,567
2005,14,355
2005,15,176
2005,16,123
2005,17,69
2005,18,51
2005,19,37
2005,20,39
2005,21,31
2005,22,23
2005,23,12
2005,24,15
2005,25,11
2005,26,7
2005,27,5
2005,28,2
2005,29,3
2005,30,2
2005,31,0
2005,32,4
2005,33,6
2005,34,4
2005,35,6
2005,36,1
2005,37,5
2005,38,2
2005,39,7
2005,40,11
2005,41,12
2005,42,25
2005,43,14
2005,44,23
2005,45,43
2005,46,47
2005,47,52
2005,48,116
2005,49,214
2005,50,399
2005,51,691
2005,52,786
2006,1,752
2006,2,843
2006,3,883
2006,4,1059
2006,5,1173
2006,6,1297
2006,7,1586
2006,8,1625
2006,9,1802
2006,10,1754
2006,11,1381
2006,12,1190
2006,13,975
2006,14,605
2006,15,458
2006,16,346
2006,17,200
2006,18,195
2006,19,177
2006,20,135
2006,21,130
2006,22,78
2006,23,55
2006,24,25
2006,25,14
2006,26,12
2006,27,8
2006,28,7
2006,29,11
2006,30,17
2006,31,20
2006,32,12
2006,33,12
2006,34,15
2006,35,17
2006,36,13
2006,37,31
2006,38,35
2006,39,29
2006,40,56
2006,41,67
2006,42,80
2006,43,84
2006,44,143
2006,45,155
2006,46,133
2006,47,161
2006,48,209
2006,49,264
2006,50,541
2006,51,729
2006,52,704
2007,1,468
2007,2,594
2007,3,718
2007,4,1310
2007,5,1849
2007,6,2532
2007,7,2523
2007,8,2367
2007,9,1949
2007,10,1589
2007,11,1353
2007,12,1090
2007,13,765
2007,14,518
2007,15,515
2007,16,373
2007,17,294
2007,18,203
2007,19,126
2007,20,92
2007,21,84
2007,22,30
2007,23,20
2007,24,26
2007,25,8
2007,26,15
2007,27,18
2007,28,23
2007,29,16
2007,30,37
2007,31,24
2007,32,34
2007,33,19
2007,34,23
2007,35,30
2007,36,24
2007,37,30
2007,38,30
2007,39,20
2007,40,44
2007,41,44
2007,42,48
2007,43,50
2007,44,74
2007,45,85
2007,46,87
2007,47,140
2007,48,161
2007,49,180
2007,50,215
2007,51,314
2007,52,448
2008,1,584
2008,2,1003
2008,3,1313
2008,4,2152
2008,5,3831
2008,6,4871
2008,7,4827
2008,8,5277
2008,9,4451
2008,10,3595
2008,11,2564
2008,12,1937
2008,13,1387
2008,14,899
2008,15,622
2008,16,349
2008,17,191
2008,18,126
2008,19,65
2008,20,38
2008,21,29
2008,22,19
2008,23,17
2008,24,12
2008,25,7
2008,26,6
2008,27,4
2008,28,6
2008,29,4
2008,30,10
2008,31,7
2008,32,7
2008,33,1
2008,34,6
2008,35,5
2008,36,6
2008,37,11
2008,38,20
2008,39,12
2008,40,17
2008,41,23
2008,42,37
2008,43,61
2008,44,43
2008,45,71
2008,46,62
2008,47,84
2008,48,109
2008,49,127
2008,50,189
2008,51,273
2008,52,285
2008,53,365
2009,1,589
2009,2,760
2009,3,1275
2009,4,1969
2009,5,2802
2009,6,3207
2009,7,2913
2009,8,2923
2009,9,2671
2009,10,2147
2009,11,1773
2009,12,1229
2009,13,799
2009,14,543
2009,15,336
2009,16,324
2009,17,4512
2009,18,5207
2009,19,3042
2009,20,4128
2009,21,4515
2009,22,5351
2009,23,5727
2009,24,6140
2009,25,4384
2009,26,3468
2009,27,3432
2009,28,2701
2009,29,2344
2009,30,2531
2009,31,1994
2009,32,1933
2009,33,2437
2009,34,2563
2009,35,2899
2009,36,3576
2009,37,4269
2009,38,4540
2009,39,4931
2009,40,8042
2009,41,10899
2009,42,12409
2009,43,9998
2009,44,7727
2009,45,6016
2009,46,3628
2009,47,1937
2009,48,1410
2009,49,868
2009,50,676
2009,51,427
2009,52,468
2010,1,379
2010,2,417
2010,3,477
2010,4,428
2010,5,425
2010,6,369
2010,7,400
2010,8,438
2010,9,461
2010,10,496
2010,11,370
2010,12,250
2010,13,228
2010,14,130
2010,15,84
2010,16,47
2010,17,26
2010,18,25
2010,19,18
2010,20,15
2010,21,5
2010,22,6
2010,23,6
2010,24,9
2010,25,8
2010,26,4
2010,27,5
2010,28,11
2010,29,8
2010,30,23
2010,31,16
2010,32,29
2010,33,19
2010,34,40
2010,35,28
2010,36,36
2010,37,50
2010,38,48
2010,39,40
2010,40,77
2010,41,128
2010,42,139
2010,43,166
2010,44,247
2010,45,350
2010,46,487
2010,47,587
2010,48,597
2010,49,843
2010,50,1450
2010,51,2046
2010,52,2372
2011,1,2628
2011,2,2984
2011,3,3710
2011,4,4447
2011,5,4912
2011,6,5077
2011,7,5716
2011,8,4657
2011,9,3573
2011,10,2766
2011,11,2000
2011,12,1361
2011,13,910
2011,14,636
2011,15,400
2011,16,205
2011,17,133
2011,18,69
2011,19,36
2011,20,26
2011,21,18
2011,22,13
2011,23,6
2011,24,9
2011,25,5
2011,26,4
2011,27,5
2011,28,9
2011,29,10
2011,30,4
2011,31,11
2011,32,13
2011,33,16
2011,34,17
2011,35,15
2011,36,13
2011,37,21
2011,38,21
2011,39,35
2011,40,33
2011,41,19
2011,42,28
2011,43,44
2011,44,39
2011,45,49
2011,46,44
2011,47,75
2011,48,72
2011,49,108
2011,50,133
2011,51,197
2011,52,182
2012,1,183
2012,2,235
2012,3,320
2012,4,473
2012,5,680
2012,6,809
2012,7,1083
2012,8,1443
2012,9,2021
2012,10,2384
2012,11,2710
2012,12,2195
2012,13,1606
2012,14,1478
2012,15,1289
2012,16,1174
2012,17,860
2012,18,723
2012,19,616
2012,20,508
2012,21,416
2012,22,365
2012,23,293
2012,24,289
2012,25,171
2012,26,152
2012,27,93
2012,28,94
2012,29,77
2012,30,105
2012,31,205
2012,32,173
2012,33,168
2012,34,113
2012,35,84
2012,36,89
2012,37,73
2012,38,108
2012,39,131
2012,40,171
2012,41,193
2012,42,305
2012,43,348
2012,44,425
2012,45,629
2012,46,898
2012,47,1369
2012,48,2089
2012,49,3522
2012,50,4797
2012,51,6331
2012,52,6870
2013,1,6944
2013,2,7602
2013,3,6393
2013,4,5521
2013,5,4304
2013,6,3294
2013,7,2650
2013,8,2275
2013,9,1967
2013,10,1821
2013,11,1617
2013,12,1376
2013,13,1116
2013,14,945
2013,15,671
2013,16,488
2013,17,391
2013,18,324
2013,19,242
2013,20,183
2013,21,179
2013,22,151
2013,23,138
2013,24,128
2013,25,129
2013,26,97
2013,27,84
2013,28,100
2013,29,74
2013,30,68
2013,31,89
2013,32,78
2013,33,64
2013,34,60
2013,35,123
2013,36,115
2013,37,122
2013,38,124
2013,39,188
2013,40,194
2013,41,229
2013,42,185
2013,43,208
2013,44,293
2013,45,400
2013,46,518
2013,47,717
2013,48,898
2013,49,1719
2013,50,2253
2013,51,3955
2013,52,4893
2014,1,5187
2014,2,5057
2014,3,4680
2014,4,4002
2014,5,2990
2014,6,2477
2014,7,1951
2014,8,1518
2014,9,1218
2014,10,1023
2014,11,986
2014,12,1030
2014,13,1053
2014,14,1093
2014,15,1074
2014,16,912
2014,17,824
2014,18,742
2014,19,597
2014,20,551
2014,21,407
2014,22,423
2014,23,311
2014,24,294
2014,25,228
2014,26,174
2014,27,158
2014,28,153
2014,29,121
2014,30,117
2014,31,107
2014,32,88
2014,33,112
2014,34,110
2014,35,136
2014,36,117
2014,37,131
2014,38,171
2014,39,204
2014,40,309
2014,41,439
2014,42,584
2014,43,544
2014,44,727
2014,45,1156
2014,46,1417
2014,47,2403
2014,48,3624
2014,49,5330
2014,50,8191
2014,51,11470
2014,52,13798
2014,53,11374
2015,1,9246
2015,2,8648
2015,3,7983
2015,4,6881
2015,5,5622
2015,6,4197
2015,7,3370
2015,8,2839
2015,9,2689
2015,10,2527
2015,11,2209
2015,12,1910
2015,13,1668
2015,14,1474
2015,15,1127
2015,16,773
2015,17,610
2015,18,527
2015,19,384
2015,20,308
2015,21,226
2015,22,194
2015,23,178
2015,24,152
2015,25,121
2015,26,129
2015,27,99
2015,28,86
2015,29,73
2015,30,73
2015,31,93
2015,32,81
2015,33,98
2015,34,100
2015,35,139
2015,36,148
2015,37,198
2015,38,167
2015,39,202
2015,40,209
2015,41,228
2015,42,223
2015,43,208
2015,44,210
2015,45,270
2015,46,250
2015,47,268
2015,48,316
2015,49,348
2015,50,577
2015,51,552
2015,52,724
2016,1,960
2016,2,1275
2016,3,1658
2016,4,2377
2016,5,3318
2016,6,4711
2016,7,6433
2016,8,8372
2016,9,10084
2016,10,11971
2016,11,9205
2016,12,7355
2016,13,6045
2016,14,4505
2016,15,3784
2016,16,3278
2016,17,2405
2016,18,1602
2016,19,1219
2016,20,953
2016,21,693
2016,22,399
2016,23,335
2016,24,200
2016,25,184
2016,26,120
2016,27,93
2016,28,94
2016,29,85
2016,30,100
2016,31,109
2016,32,112
2016,33,93
2016,34,131
2016,35,170
2016,36,171
2016,37,217
2016,38,263
2016,39,284
2016,40,316
2016,41,299
2016,42,379
2016,43,387
2016,44,476
2016,45,565
2016,46,712
2016,47,820
2016,48,1097
2016,49,1402
2016,50,2407
2016,51,4042
2016,52,6506
2017,1,6933
2017,2,7850
2017,3,9250
2017,4,9782
2017,5,11881
2017,6,15074
2017,7,15356
2017,8,14783
2017,9,10162
2017,10,9372
2017,11,8619
2017,12,8654
2017,13,7625
2017,14,5524
2017,15,3942
2017,16,2684
2017,17,1695
2017,18,1253
2017,19,1109
2017,20,944
2017,21,734
2017,22,653
2017,23,503
2017,24,410
2017,25,319
2017,26,267
2017,27,211
2017,28,222
2017,29,191
2017,30,189
2017,31,196
2017,32,208
2017,33,152
2017,34,199
2017,35,272
2017,36,331
2017,37,370
2017,38,364
2017,39,399
2017,40,503
2017,41,534
2017,42,589
2017,43,740
2017,44,1066
2017,45,1323
2017,46,1819
2017,47,2297
2017,48,2984
2017,49,4587
2017,50,7316
2017,51,14060
2017,52,17893
2018,1,19880
2018,2,22933
2018,3,22642
2018,4,26318
2018,5,26386
2018,6,25963
2018,7,22908
2018,8,16227
2018,9,10801
2018,10,7917
2018,11,7009
2018,12,6138
2018,13,5619
2018,14,4290
2018,15,3414
2018,16,2455
2018,17,1875
2018,18,1317
2018,19,776
2018,20,481
2018,21,338
2018,22,193
2018,23,178
2018,24,138
2018,25,101
2018,26,95
2018,27,90
2018,28,87
2018,29,101
2018,30,85
2018,31,81
2018,32,87
2018,33,77
2018,34,149
2018,35,149
2018,36,207
2018,37,252
2018,38,270
2018,39,257
2018,40,355
2018,41,390
2018,42,507
2018,43,571
2018,44,609
2018,45,819
2018,46,980
2018,47,1260
2018,48,1524
2018,49,2294
2018,50,4313
2018,51,6960
2018,52,8758
2019,1,7076
2019,2,7092
2019,3,8864
2019,4,10796
2019,5,13581
2019,6,16783
2019,7,17010
2019,8,17344
2019,9,17202
2019,10,16954
2019,11,17008
2019,12,13277
2019,13,10078
2019,14,6919
2019,15,4819
2019,16,2996
2019,17,1874
2019,18,1265
2019,19,906
2019,20,788
2019,21,669
2019,22,581
2019,23,487
2019,24,376
2019,25,294
2019,26,280
2019,27,305
2019,28,248
2019,29,267
2019,30,253
2019,31,248
2019,32,223
2019,33,268
2019,34,302
2019,35,450
2019,36,476
2019,37,475
2019,38,562
2019,39,628
2019,40,427
2019,41,526
2019,42,594
2019,43,855
2019,44,1137
2019,45,2210
2019,46,2906
2019,47,4600
2019,48,5066
2019,49,6436
2019,50,9123
2019,51,14667
2019,52,20211
2020,1,18146
2020,2,16638
2020,3,18828
2020,4,21523
2020,5,25631
2020,6,25311
2020,7,23581
2020,8,21117
2020,9,18344
2020,10,16492
2020,11,12819
2020,12,5891
2020,13,1149
2020,14,345
2020,15,152
2020,16,114
2020,17,56
2020,18,53
2020,19,58
2020,20,48
2020,21,17
2020,22,14
2020,23,21
2020,24,10
