"","date","pce","pop","psavert","uempmed","unemploy","resid_mod1","lag1"
"2",1967-08-01,509.8,198911,12.6,4.7,2945,1265.56514064613,1281.51443459814
"3",1967-09-01,515.6,199113,11.9,4.6,2958,1252.02867140801,1265.56514064613
"4",1967-10-01,512.2,199311,12.9,4.9,3143,1229.67510255084,1252.02867140801
"5",1967-11-01,517.4,199498,12.8,4.7,3066,1216.97450974128,1229.67510255084
"6",1967-12-01,525.1,199657,11.8,4.8,3018,1209.4542195984,1216.97450974128
"7",1968-01-01,530.9,199808,11.7,5.1,2878,1200.79973021742,1209.4542195984
"8",1968-02-01,533.6,199920,12.3,4.5,3001,1192.77851955073,1200.79973021742
"9",1968-03-01,544.3,200056,11.7,4.1,2877,1190.45990659832,1192.77851955073
"10",1968-04-01,544,200208,12.3,4.6,2709,1175.60969212211,1190.45990659832
"11",1968-05-01,549.8,200361,12,4.4,2740,1166.76375255065,1175.60969212211
"12",1968-06-01,556.3,200536,11.7,4.4,2938,1156.51186088395,1166.76375255065
"13",1968-07-01,563.2,200706,10.7,4.5,2883,1147.13859469345,1156.51186088395
"14",1968-08-01,567,200898,10.5,4.2,2768,1132.5593764077,1147.13859469345
"15",1968-09-01,568.2,201095,10.6,4.6,2686,1114.90153264576,1132.5593764077
"16",1968-10-01,571.6,201290,10.8,4.8,2689,1099.6351390743,1114.90153264576
"17",1968-11-01,576.7,201466,10.6,4.4,2715,1087.88752231236,1099.6351390743
"18",1968-12-01,576.5,201621,11.1,4.4,2685,1072.85013255043,1087.88752231236
"19",1969-01-01,583.5,201760,10.3,4.4,2718,1066.54434431231,1072.85013255043
"20",1969-02-01,588.7,201881,9.7,4.9,2692,1060.16160778848,1066.54434431231
"21",1969-03-01,588.9,202023,10.2,4,2712,1046.76864426464,1060.16160778848
"22",1969-04-01,593.9,202161,9.7,4,2758,1038.55858112176,1046.76864426464
"23",1969-05-01,600.3,202331,10.1,4.2,2713,1028.68531493126,1038.55858112176
"24",1969-06-01,600.9,202507,11.1,4.4,2816,1012.43769816932,1028.68531493126
"25",1969-07-01,602.7,202677,11.8,4.4,2868,997.964431978812,1012.43769816932
"26",1969-08-01,609.9,202877,11.5,4.4,2856,986.019412931159,997.964431978812
"27",1969-09-01,613.2,203090,11.6,4.7,3040,968.929967645406,986.019412931159
"28",1969-10-01,618.5,203302,11.4,4.5,3049,953.936247454893,968.929967645406
"29",1969-11-01,620.5,203500,11.6,4.8,2856,936.982678597715,953.936247454893
"30",1969-12-01,622.8,203675,11.8,4.6,2884,922.530786931018,936.982678597715
"31",1970-01-01,628.7,203849,11.8,4.6,3201,911.774620359558,922.530786931018
"32",1970-02-01,634,204008,11.7,4.5,3453,901.854330216673,911.774620359558
"33",1970-03-01,632.3,204156,12.4,4.6,3635,885.987016121409,901.854330216673
"34",1970-04-01,636,204401,13.3,4.1,3797,866.234367788032,885.987016121409
"35",1970-05-01,642.4,204607,12.4,4.7,3919,852.914998168948,866.234367788032
"36",1970-06-01,646.3,204830,12.3,4.9,4071,835.468301930813,852.914998168948
"37",1970-07-01,648.5,205052,13.5,5.1,4175,816.417330787917,835.468301930813
"38",1970-08-01,652.9,205295,13.4,5.4,4256,797.556132645017,816.417330787917
"39",1970-09-01,659.1,205540,12.9,5.2,4456,780.303484311641,797.556132645017
"40",1970-10-01,658.3,205788,13.1,5.2,4591,755.763660692549,780.303484311641
"41",1970-11-01,656.6,206024,13.6,5.6,4898,731.472538216317,755.763660692549
"42",1970-12-01,665.6,206238,13.2,5.9,5076,719.987367835326,731.472538216317
"43",1971-01-01,676.1,206466,13.3,6.2,4986,708.662046121,719.987367835326
"44",1971-02-01,679.4,206668,13.3,6.3,4903,692.625576882869,708.662046121
"45",1971-03-01,682,206855,13.5,6.4,4987,677.324984073312,692.625576882869
"46",1971-04-01,688.8,207065,13.2,6.5,4959,664.022714073275,677.324984073312
"47",1971-05-01,691.1,207260,13.6,6.7,4996,647.656320501812,664.022714073275
"48",1971-06-01,699.8,207462,14.7,5.7,4949,637.019851263681,647.656320501812
"49",1971-07-01,698.9,207661,13.8,6.2,5035,617.070557311266,637.019851263681
"50",1971-08-01,704.9,207881,13.6,6.4,5134,602.011036358846,617.070557311266
"51",1971-09-01,713,208114,13.3,5.8,5042,587.807089168328,602.011036358846
"52",1971-10-01,715.8,208345,13.3,6.5,4954,568.494592168287,587.807089168328
"53",1971-11-01,720.9,208555,13.1,6.4,5161,553.49232216825,568.494592168287
"54",1971-12-01,728.4,208740,13,6.2,5154,543.283179549171,553.49232216825
"55",1972-01-01,731.5,208917,12.5,6.2,5019,529.439837691996,543.283179549171
"56",1972-02-01,736.2,209061,12.8,6.6,4928,520.355423977684,529.439837691996
"57",1972-03-01,749.2,209212,11.8,6.6,5038,518.900934596705,520.355423977684
"58",1972-04-01,752.5,209386,11.5,6.7,4959,505.544768025247,518.900934596705
"59",1972-05-01,758,209545,11.7,6.6,4922,495.824477882361,505.544768025247
"60",1972-06-01,761.6,209725,11.7,5.4,4923,482.193960739472,495.824477882361
"61",1972-07-01,769.9,209896,11.7,6.1,4913,474.124969453728,482.193960739472
"62",1972-08-01,776.3,210075,12,6,4939,463.390177406077,474.124969453728
"63",1972-09-01,781.1,210278,12.2,5.6,4849,448.757983072707,463.390177406077
"64",1972-10-01,794.9,210479,13,5.7,4875,443.317238929815,448.757983072707
"65",1972-11-01,800.5,210656,13.6,5.7,4602,431.973897072641,443.317238929815
"66",1972-12-01,806.1,210821,13.7,6.1,4543,421.779256358326,431.973897072641
"67",1973-01-01,816.5,210985,12.4,5.7,4326,416.48034073925,421.779256358326
"68",1973-02-01,825.8,211120,12.5,5.2,4452,412.857452882083,416.48034073925
"69",1973-03-01,832.8,211254,12.7,5.5,4394,407.030290120155,412.857452882083
"70",1973-04-01,835.7,211420,13.2,5,4459,394.039924310601,407.030290120155
"71",1973-05-01,841.6,211577,13.2,4.9,4329,384.911084358193,394.039924310601
"72",1973-06-01,844.3,211746,13.6,5,4363,371.433543262924,384.911084358193
"73",1973-07-01,854.1,211909,13.2,5.2,4305,365.630352739086,371.433543262924
"74",1973-08-01,853.3,212092,13.9,4.9,4305,347.312660310483,365.630352739086
"75",1973-09-01,869.2,212289,13.1,5.4,4350,344.354816548543,347.312660310483
"76",1973-10-01,868.2,212475,14.4,5.5,4144,325.549948834224,344.354816548543
"77",1973-11-01,876.9,212634,14.4,5.1,4396,319.029658691339,325.549948834224
"78",1973-12-01,876.6,212785,14.8,4.7,4489,304.27516931036,319.029658691339
"79",1974-01-01,884.5,212932,14.3,5,4644,298.103580310335,304.27516931036
"80",1974-02-01,889.7,213074,14.2,5.1,4731,289.710616786499,298.103580310335
"81",1974-03-01,901.4,213211,13.4,4.8,4634,288.296278738857,289.710616786499
"82",1974-04-01,910.8,213361,13.1,5,4618,283.337514453116,288.296278738857
"83",1974-05-01,922.4,213513,12.8,4.6,4705,280.387299976899,283.337514453116
"84",1974-06-01,928,213686,12.8,5.3,4927,269.426858500677,280.387299976899
"85",1974-07-01,937.9,213854,12.8,5.7,5063,263.245042500648,269.426858500677
"86",1974-08-01,954.8,214042,12.1,5,5022,262.148724595853,263.245042500648
"87",1974-09-01,955.1,214246,12.9,5.3,5437,242.920805167245,262.148724595853
"88",1974-10-01,959.2,214451,13.4,5.5,5523,227.397160643399,242.920805167245
"89",1974-11-01,956.2,214625,13.8,5.2,6140,207.74099407194,227.397160643399
"90",1974-12-01,961.8,214782,14,5.7,6636,198.312154119531,207.74099407194
"91",1975-01-01,975.6,214931,13.2,6.3,7501,197.849114929029,198.312154119531
"92",1975-02-01,989.4,215065,12.5,7.1,7520,198.8219521671,197.849114929029
"93",1975-03-01,990.6,215198,12.7,7.2,7978,187.29051450041,198.8219521671
"94",1975-04-01,995,215353,14.2,8.7,8210,176.853124738478,187.29051450041
"95",1975-05-01,1018.9,215523,17.3,9.4,8433,184.479858547971,176.853124738478
"96",1975-06-01,1026.8,215768,14.3,8.8,8220,168.927210214595,184.479858547971
"97",1975-07-01,1039.8,215973,12.6,8.6,8127,162.30356569075,168.927210214595
"98",1975-08-01,1047,216195,13,9.2,7928,148.252594547853,162.30356569075
"99",1975-09-01,1054.8,216393,13,9.2,7923,137.099025690675,148.252594547853
"100",1975-10-01,1060.9,216587,13.4,8.6,7897,124.62835721445,137.099025690675
"101",1975-11-01,1075.8,216771,12.7,9.5,7794,121.914939690608,124.62835721445
"102",1975-12-01,1092.1,216931,12,9,7744,122.898924452485,121.914939690608
"103",1976-01-01,1107.1,217095,11.7,9,7534,122.200008833408,122.898924452485
"104",1976-02-01,1107.7,217249,12.3,8.2,7326,108.058344166714,122.200008833408
"105",1976-03-01,1114.9,217381,12.2,8.7,7230,102.622631595262,108.058344166714
"106",1976-04-01,1125.4,217528,11.7,8.2,7330,99.0510425952363,102.622631595262
"107",1976-05-01,1122.7,217685,12.3,8.3,7053,81.3222026428271,99.0510425952363
"108",1976-06-01,1140.5,217861,11.4,7.8,7322,82.2745858808918,81.3222026428271
"109",1976-07-01,1149.6,218035,11.7,7.7,7490,74.7184193094322,82.2745858808918
"110",1976-08-01,1158,218233,11.7,7.9,7518,64.1648504522547,74.7184193094322
"111",1976-09-01,1168.8,218440,11.4,7.8,7380,55.1497557379324,64.1648504522547
"112",1976-10-01,1176.8,218644,11.1,7.7,7430,43.621836309325,55.1497557379324
"113",1976-11-01,1189,218834,11.4,8.4,7620,37.6340682140529,43.621836309325
"114",1976-12-01,1211.5,219006,10.6,8,7545,43.6693518330703,37.6340682140529
"115",1977-01-01,1215,219179,10.6,7.5,7280,30.608910356849,43.6693518330703
"116",1977-02-01,1231.3,219344,9.3,7.2,7443,31.1142696425345,30.608910356849
"117",1977-03-01,1238.3,219504,10.5,7.2,7307,22.7982544044109,31.1142696425345
"118",1977-04-01,1247.3,219684,10.5,7.3,7059,14.5677372615225,22.7982544044109
"119",1977-05-01,1257.1,219859,10.3,7.9,6911,7.61584559482407,14.5677372615225
"120",1977-06-01,1263.6,220046,10.6,6.2,7134,-3.78474721473272,7.61584559482407
"121",1977-07-01,1280.5,220239,10.5,7.1,6829,-5.3596905957187,-3.78474721473272
"122",1977-08-01,1285.7,220458,10.9,7,6925,-21.1234864529008,-5.3596905957187
"123",1977-09-01,1294.5,220688,11.1,6.7,6751,-34.3402583577034,-21.1234864529008
"124",1977-10-01,1311.4,220904,11,6.9,6763,-38.1168789291698,-34.3402583577034
"125",1977-11-01,1327,221109,11.2,7,6815,-42.1405234530159,-38.1168789291698
"126",1977-12-01,1336,221303,11.4,6.8,6386,-51.7111919292402,-42.1405234530159
"127",1978-01-01,1329.5,221477,11.9,6.5,6489,-74.8673585006992,-51.7111919292402
"128",1978-02-01,1355.1,221629,11.1,6.7,6318,-63.8175729769172,-74.8673585006992
"129",1978-03-01,1377.5,221792,11,6.2,6337,-57.0207635007554,-63.8175729769172
"130",1978-04-01,1396.4,221991,10.8,6.1,6180,-57.1700574531711,-57.0207635007554
"131",1978-05-01,1412,222176,10.3,5.7,6127,-59.2792000722515,-57.1700574531711
"132",1978-06-01,1425.8,222379,10,6,6028,-64.9113944056205,-59.2792000722515
"133",1978-07-01,1426.8,222585,10.9,5.8,6309,-83.6307640247047,-64.9113944056205
"134",1978-08-01,1447,222805,10.5,5.8,6080,-84.4902849771246,-83.6307640247047
"135",1978-09-01,1452.9,223053,10.6,5.6,6125,-102.330108596216,-84.4902849771246
"136",1978-10-01,1466.9,223271,10.7,5.9,5947,-109.198179358159,-102.330108596216
"137",1978-11-01,1480.6,223477,10.5,5.5,6077,-115.217548977243,-109.198179358159
"138",1978-12-01,1496.5,223670,10.4,5.6,6228,-117.79249235823,-115.217548977243
"139",1979-01-01,1502.4,223865,11.1,5.9,6109,-130.558885929693,-117.79249235823
"140",1979-02-01,1517.8,224053,11.1,5.9,6173,-133.155203834488,-130.558885929693
"141",1979-03-01,1531.2,224235,11.2,5.9,6109,-137.177171167854,-133.155203834488
"142",1979-04-01,1538.4,224438,11,5.4,6069,-149.409365501223,-137.177171167854
"143",1979-05-01,1558.8,224632,10.3,5.6,5840,-147.580033977448,-149.409365501223
"144",1979-06-01,1575.7,224843,9.9,5.6,5959,-150.878029072723,-147.580033977448
"145",1979-07-01,1586.1,225055,10.6,5.9,5996,-160.771749263237,-150.878029072723
"146",1979-08-01,1615.6,225295,9.7,4.8,6320,-154.245772120422,-160.771749263237
"147",1979-09-01,1633.9,225547,9.4,5.5,6190,-160.068496120466,-154.245772120422
"148",1979-10-01,1641.6,225801,9.7,5.5,6296,-176.682670310987,-160.068496120466
"149",1979-11-01,1657.3,226027,9.7,5.3,6238,-182.616541834837,-176.682670310987
"150",1979-12-01,1666.3,226243,10.1,5.7,6325,-194.293162406304,-182.616541834837
"151",1980-01-01,1697.3,226451,9.9,5.3,6683,-183.203982215864,-194.293162406304
"152",1980-02-01,1701.4,226656,10.1,5.8,6702,-198.72762673971,-183.203982215864
"153",1980-03-01,1708.2,226849,10.2,6,6729,-210.402570120697,-198.72762673971
"154",1980-04-01,1695.2,227061,11.3,5.8,7358,-243.69629031121,-210.402570120697
"155",1980-05-01,1700.1,227251,11.4,5.7,7984,-256.984058406482,-243.69629031121
"156",1980-06-01,1718.8,227522,11.2,6.4,8098,-264.225559216053,-256.984058406482
"157",1980-07-01,1747.1,227726,11.3,7,8363,-255.453478644661,-264.225559216053
"158",1980-08-01,1763.8,227953,11.3,7.5,8281,-260.483075263749,-255.453478644661
"159",1980-09-01,1780.5,228186,11.7,7.7,8021,-266.087022454266,-260.483075263749
"160",1980-10-01,1817.1,228417,11.3,7.5,8088,-251.599519454307,-266.087022454266
"161",1980-11-01,1826.8,228612,11.6,7.7,8023,-260.56591302577,-251.599519454307
"162",1980-12-01,1851.7,228779,11.4,7.5,7718,-251.652003930562,-260.56591302577
"163",1981-01-01,1870,228937,10.9,7.4,8071,-248.476568978208,-251.652003930562
"164",1981-02-01,1884.2,229071,10.8,7.1,8051,-247.103731740137,-248.476568978208
"165",1981-03-01,1902.9,229224,10.8,7.1,7982,-243.049671311592,-247.103731740137
"166",1981-04-01,1904.4,229403,10.9,7.4,7869,-258.684463359243,-243.049671311592
"167",1981-05-01,1913.8,229575,11,6.9,8174,-265.749179740225,-258.684463359243
"168",1981-06-01,1934.5,229761,10.8,6.6,8098,-262.854047454544,-265.749179740225
"169",1981-07-01,1942.1,229966,12.3,7.1,7863,-274.87769197839,-262.854047454544
"170",1981-08-01,1966.6,230187,12,7.2,8036,-271.532938026048,-274.87769197839
"171",1981-09-01,1965.5,230412,12.4,6.8,8230,-294.171084454659,-271.532938026048
"172",1981-10-01,1963.9,230641,13,6.8,8646,-317.692131264223,-294.171084454659
"173",1981-11-01,1970.6,230822,13.2,6.9,9029,-328.318373502351,-317.692131264223
"174",1981-12-01,1988.8,230989,12.5,6.9,9267,-326.104464407142,-328.318373502351
"175",1982-01-01,1997.1,231157,12.7,7.1,9397,-333.886280407172,-326.104464407142
"176",1982-02-01,2021.2,231313,12.1,7.5,9705,-324.719395264342,-333.886280407172
"177",1982-03-01,2024.1,231470,12.2,7.7,9895,-336.848235216751,-324.719395264342
"178",1982-04-01,2026.3,231645,12.9,8.1,10244,-351.400126883449,-336.848235216751
"179",1982-05-01,2044.5,231809,12.3,8.5,10335,-348.899042502525,-351.400126883449
"180",1982-06-01,2048.1,231992,12.3,9.5,10538,-362.816734931129,-348.899042502525
"181",1982-07-01,2072.2,232188,12.5,8.5,10849,-357.478853597831,-362.816734931129
"182",1982-08-01,2080.1,232392,12.6,8.7,10881,-369.106773026438,-357.478853597831
"183",1982-09-01,2104.6,232599,11.8,9.5,11217,-364.42186774076,-369.106773026438
"184",1982-10-01,2125.8,232816,11.3,9.7,11529,-363.994213407465,-364.42186774076
"185",1982-11-01,2149.3,232993,10.9,10,11938,-357.437555264639,-363.994213407465
"186",1982-12-01,2161.6,233160,10.9,10.2,12051,-361.123646169431,-357.437555264639
"187",1983-01-01,2174,233322,11.1,11.1,11534,-364.231111598031,-361.123646169431
"188",1983-02-01,2177,233473,11.1,9.8,11545,-375.68560097901,-364.231111598031
"189",1983-03-01,2202.8,233613,10.6,10.4,11408,-363.287114312368,-375.68560097901
"190",1983-04-01,2226.4,233781,10.3,10.9,11268,-355.768930312397,-363.287114312368
"191",1983-05-01,2245.9,233922,9.9,12.3,11154,-349.766168740994,-355.768930312397
"192",1983-06-01,2276,234118,9.1,11.3,11246,-338.428287407695,-349.766168740994
"193",1983-07-01,2304.4,234307,9.6,10.1,10548,-328.120330407729,-338.428287407695
"194",1983-08-01,2320.4,234501,9.2,9.3,10623,-330.690998883953,-328.120330407729
"195",1983-09-01,2334.9,234701,9.6,9.3,10282,-335.336017931607,-330.690998883953
"196",1983-10-01,2357.6,234907,9.7,9.4,9887,-332.355387550692,-335.336017931607
"197",1983-11-01,2366.3,235078,10.3,9.3,9499,-340.024378836436,-332.355387550692
"198",1983-12-01,2393.6,235235,10.1,8.7,9331,-327.753218788845,-340.024378836436
"199",1984-01-01,2419.4,235385,10,9.1,9008,-316.311983074586,-327.753218788845
"200",1984-02-01,2403.5,235527,11.7,8.3,8791,-345.80494659842,-316.311983074586
"201",1984-03-01,2431.6,235675,11.5,8.3,8746,-331.872260693685,-345.80494659842
"202",1984-04-01,2457.5,235839,11.5,8.2,8762,-321.671176312761,-331.872260693685
"203",1984-05-01,2474.5,235993,11.1,9.1,8456,-319.412840979455,-321.671176312761
"204",1984-06-01,2495.6,236160,11.1,7.5,8226,-314.298931884246,-319.412840979455
"205",1984-07-01,2494.6,236348,11.6,7.5,8537,-333.295249789042,-314.298931884246
"206",1984-08-01,2512.2,236549,11.8,7.3,8519,-334.935993931934,-333.295249789042
"207",1984-09-01,2533.8,236760,11.8,7.6,8367,-333.533989027209,-334.935993931934
"208",1984-10-01,2531.3,236976,11.7,7.2,8381,-356.710609598676,-333.533989027209
"209",1984-11-01,2571.4,237159,10.9,7.2,8198,-334.12830202728,-356.710609598676
"210",1984-12-01,2582.6,237316,11.2,7.3,8358,-337.957141979689,-334.12830202728
"211",1985-01-01,2618.8,237468,10.3,6.8,8423,-316.307356455906,-337.957141979689
"212",1985-02-01,2640.8,237602,9.1,7.1,8321,-307.134519217835,-316.307356455906
"213",1985-03-01,2648.5,237732,8.7,7.1,8339,-311.87878159881,-307.134519217835
"214",1985-04-01,2659.5,237900,9.9,6.9,8395,-316.96059759884,-311.87878159881
"215",1985-05-01,2696.4,238074,11.1,6.9,8302,-296.716764170299,-316.96059759884
"216",1985-06-01,2689.4,238270,9.6,6.6,8460,-322.478882837,-296.716764170299
"217",1985-07-01,2715.7,238466,9.1,6.9,8513,-314.941001503702,-322.478882837
"218",1985-08-01,2752.1,238679,8.2,7.1,8196,-298.930446789454,-314.941001503702
"219",1985-09-01,2794.7,238898,7.3,6.9,8248,-277.294242646635,-298.930446789454
"220",1985-10-01,2755.8,239113,9.1,7.1,8298,-336.775138122863,-277.294242646635
"221",1985-11-01,2771.1,239307,9,7,8128,-340.045806599088,-336.775138122863
"222",1985-12-01,2811.3,239477,8.6,6.8,8138,-316.119072789594,-340.045806599088
"223",1986-01-01,2827.1,239638,8.6,6.7,7795,-315.730813122956,-316.119072789594
"224",1986-02-01,2820.2,239788,9.3,6.9,8402,-336.989577408697,-315.730813122956
"225",1986-03-01,2823.6,239928,9.9,6.8,8383,-346.991090742055,-336.989577408697
"226",1986-04-01,2835.2,240094,9.7,6.7,8364,-351.281456551609,-346.991090742055
"227",1986-05-01,2857.5,240271,9.3,6.8,8439,-345.924798408782,-351.281456551609
"228",1986-06-01,2861.7,240459,9.4,7,8508,-359.721116313578,-345.924798408782
"229",1986-07-01,2881.2,240651,9.3,6.9,8319,-358.600334599326,-359.721116313578
"230",1986-08-01,2898.6,240854,9,7.1,8135,-360.632528932695,-358.600334599326
"231",1986-09-01,2971.8,241068,7.2,7.4,8310,-307.917699313685,-360.632528932695
"232",1986-10-01,2932.9,241274,8.4,7,8243,-366.537068932769,-307.917699313685
"233",1986-11-01,2928.4,241467,8.8,7.1,8159,-389.512012313756,-366.537068932769
"234",1986-12-01,2997.1,241620,7,7.1,7883,-335.457951885211,-389.512012313756
"235",1987-01-01,2935.5,241784,9.7,6.9,7892,-412.756867504288,-335.457951885211
"236",1987-02-01,3001.7,241930,8.5,6.6,7865,-360.532731409076,-412.756867504288
"237",1987-03-01,3013.3,242079,8.5,6.6,7862,-363.195770599578,-360.532731409076
"238",1987-04-01,3038.8,242252,4.5,7.1,7542,-354.256212075799,-363.195770599578
"239",1987-05-01,3048.4,242423,8.2,6.6,7574,-361.025203361544,-354.256212075799
"240",1987-06-01,3072.8,242608,7.7,6.5,7398,-354.334345980624,-361.025203361544
"241",1987-07-01,3094.7,242804,7.5,6.5,7268,-351.196464647325,-354.334345980624
"242",1987-08-01,3130.8,243012,7.2,6.4,7261,-335.007284456886,-351.196464647325
"243",1987-09-01,3126.5,243223,7.6,6,7102,-359.505279552161,-335.007284456886
"244",1987-10-01,3134.5,243446,8.3,6.3,7227,-372.851975790296,-359.505279552161
"245",1987-11-01,3144.2,243639,8.5,6.2,7035,-381.626919171282,-372.851975790296
"246",1987-12-01,3174.1,243809,8.7,6,6936,-368.000185361789,-381.626919171282
"247",1988-01-01,3213.7,243981,8.1,6.2,6953,-344.864901742772,-368.000185361789
"248",1988-02-01,3221.4,244131,8.6,6.3,6929,-351.523666028512,-344.864901742772
"249",1988-03-01,3260.5,244279,8.2,6.4,6876,-326.590980123776,-351.523666028512
"250",1988-04-01,3263,244445,8.8,5.9,6601,-339.981345933329,-326.590980123776
"251",1988-05-01,3293.6,244610,8.4,5.9,6779,-325.175986647644,-339.981345933329
"252",1988-06-01,3318.5,244806,8.4,5.8,6546,-319.038105314346,-325.175986647644
"253",1988-07-01,3342.7,245021,8.6,6.1,6605,-315.419000790574,-319.038105314346
"254",1988-08-01,3368,245240,8.4,5.9,6843,-311.082796647756,-315.419000790574
"255",1988-09-01,3375,245464,8.9,5.7,6604,-325.525217981128,-311.082796647756
"256",1988-10-01,3413.7,245693,8.6,5.6,6568,-308.746264790693,-325.525217981128
"257",1988-11-01,3430.2,245884,8.4,5.7,6537,-310.529757981203,-308.746264790693
"258",1988-12-01,3459.7,246056,8.3,5.9,6518,-297.494474362186,-310.529757981203
"259",1989-01-01,3483.7,246224,8.5,5.6,6682,-289.576290362215,-297.494474362186
"260",1989-02-01,3488,246378,9,5.4,6359,-300.017955028909,-289.576290362215
"261",1989-03-01,3498.8,246530,9.5,5.4,6205,-303.768169505126,-300.017955028909
"262",1989-04-01,3543,246721,8.4,5.4,6468,-277.851662695636,-303.768169505126
"263",1989-05-01,3551.8,246906,8.1,5.3,6375,-286.760805314717,-277.851662695636
"264",1989-06-01,3566.6,247114,8.2,5.4,6577,-291.871625124277,-286.760805314717
"265",1989-07-01,3585.7,247342,8.2,5.6,6495,-294.596946838603,-291.871625124277
"266",1989-08-01,3620.6,247573,7.6,5,6511,-281.809443838644,-294.596946838603
"267",1989-09-01,3621.9,247816,8.1,4.9,6590,-303.770641981544,-281.809443838644
"268",1989-10-01,3633.6,248067,8.5,4.9,6630,-316.097640886351,-303.770641981544
"269",1989-11-01,3643.3,248281,8.6,4.8,6725,-326.88281126734,-316.097640886351
"270",1989-12-01,3684.2,248479,7.8,4.9,6667,-304.936380124519,-326.88281126734
"271",1990-01-01,3730.7,248659,8,5.1,6752,-275.666897267408,-304.936380124519
"272",1990-02-01,3728.2,248827,8.6,5.3,6651,-294.248713267437,-275.666897267408
"273",1990-03-01,3754.9,249012,8.3,5.1,6598,-285.257855886517,-294.248713267437
"274",1990-04-01,3770,249306,8.8,4.8,6797,-298.301033886569,-285.257855886517
"275",1990-05-01,3775.8,249565,8.7,5.2,6742,-317.293833553282,-298.301033886569
"276",1990-06-01,3804.5,249849,8.6,5.2,6590,-315.779760600951,-317.293833553282
"277",1990-07-01,3821.7,250132,8.7,5.4,6922,-325.669962553382,-315.779760600951
"278",1990-08-01,3848.3,250439,8.1,5.4,7188,-328.457566791531,-325.669962553382
"279",1990-09-01,3870.1,250751,8.1,5.6,7368,-336.523796505872,-328.457566791531
"280",1990-10-01,3870.6,251057,7.8,5.8,7459,-365.315675648784,-336.523796505872
"281",1990-11-01,3871.9,251346,7.9,5.7,7764,-391.680228172644,-365.315675648784
"282",1990-12-01,3861.3,251626,8.8,5.9,7901,-429.08325483936,-391.680228172644
"283",1991-01-01,3841,251889,9.3,6,8015,-474.558954887026,-429.08325483936
"284",1991-02-01,3866.7,252135,8.8,6.2,8265,-472.407328315641,-474.558954887026
"285",1991-03-01,3913,252372,8,6.7,8586,-448.794175887111,-472.407328315641
"286",1991-04-01,3907.1,252643,8.6,6.6,8439,-480.635676696683,-448.794175887111
"287",1991-05-01,3933.2,252913,8.4,6.4,8736,-480.381452411016,-480.635676696683
"288",1991-06-01,3940.5,253207,8.9,6.9,8692,-501.224630411068,-480.381452411016
"289",1991-07-01,3966,253493,8.2,7,8586,-503.102007649214,-501.224630411068
